"grid","EASTING","NORTHING"
"NX45",245000,555000
"NX46",245000,565000
"NX47",245000,575000
"NX48",245000,585000
"NX49",245000,595000
"NX54",255000,545000
"NX55",255000,555000
"NX56",255000,565000
"NX57",255000,575000
"NX58",255000,585000
"NX59",255000,595000
"NX64",265000,545000
"NX65",265000,555000
"NX66",265000,565000
"NX67",265000,575000
"NX68",265000,585000
"NX69",265000,595000
"NX74",275000,545000
"NX75",275000,555000
"NX76",275000,565000
"NX77",275000,575000
"NX78",275000,585000
"NX79",275000,595000
"NX84",285000,545000
"NX85",285000,555000
"NX86",285000,565000
"NX87",285000,575000
"NX88",285000,585000
"NX89",285000,595000
"NX90",295000,505000
"NX91",295000,515000
"NX92",295000,525000
"NX93",295000,535000
"NX95",295000,555000
"NX96",295000,565000
"NX97",295000,575000
"NX98",295000,585000
"NX99",295000,595000
"NY00",305000,505000
"NY01",305000,515000
"NY02",305000,525000
"NY03",305000,535000
"NY04",305000,545000
"NY05",305000,555000
"NY06",305000,565000
"NY07",305000,575000
"NY08",305000,585000
"NY09",305000,595000
"NY10",315000,505000
"NY11",315000,515000
"NY12",315000,525000
"NY13",315000,535000
"NY14",315000,545000
"NY15",315000,555000
"NY16",315000,565000
"NY17",315000,575000
"NY18",315000,585000
"NY19",315000,595000
"NY20",325000,505000
"NY21",325000,515000
"NY22",325000,525000
"NY23",325000,535000
"NY24",325000,545000
"NY25",325000,555000
"NY26",325000,565000
"NY27",325000,575000
"NY28",325000,585000
"NY29",325000,595000
"NY30",335000,505000
"NY31",335000,515000
"NY32",335000,525000
"NY33",335000,535000
"NY34",335000,545000
"NY35",335000,555000
"NY36",335000,565000
"NY37",335000,575000
"NY38",335000,585000
"NY39",335000,595000
"NY40",345000,505000
"NY41",345000,515000
"NY42",345000,525000
"NY43",345000,535000
"NY44",345000,545000
"NY45",345000,555000
"NY46",345000,565000
"NY47",345000,575000
"NY48",345000,585000
"NY49",345000,595000
"NY50",355000,505000
"NY51",355000,515000
"NY52",355000,525000
"NY53",355000,535000
"NY54",355000,545000
"NY55",355000,555000
"NY56",355000,565000
"NY57",355000,575000
"NY58",355000,585000
"NY59",355000,595000
"NY60",365000,505000
"NY61",365000,515000
"NY62",365000,525000
"NY63",365000,535000
"NY64",365000,545000
"NY65",365000,555000
"NY66",365000,565000
"NY67",365000,575000
"NY68",365000,585000
"NY69",365000,595000
"NY70",375000,505000
"NY71",375000,515000
"NY72",375000,525000
"NY73",375000,535000
"NY74",375000,545000
"NY75",375000,555000
"NY76",375000,565000
"NY77",375000,575000
"NY78",375000,585000
"NY79",375000,595000
"NY80",385000,505000
"NY81",385000,515000
"NY82",385000,525000
"NY83",385000,535000
"NY84",385000,545000
"NY85",385000,555000
"NY86",385000,565000
"NY87",385000,575000
"NY88",385000,585000
"NY89",385000,595000
"NY90",395000,505000
"NY91",395000,515000
"NY92",395000,525000
"NY93",395000,535000
"NY94",395000,545000
"NY95",395000,555000
"NY96",395000,565000
"NY97",395000,575000
"NY98",395000,585000
"NY99",395000,595000
"NZ00",405000,505000
"NZ01",405000,515000
"NZ02",405000,525000
"NZ03",405000,535000
"NZ04",405000,545000
"NZ05",405000,555000
"NZ06",405000,565000
"NZ07",405000,575000
"NZ08",405000,585000
"NZ09",405000,595000
"NZ10",415000,505000
"NZ11",415000,515000
"NZ12",415000,525000
"NZ13",415000,535000
"NZ14",415000,545000
"NZ15",415000,555000
"NZ16",415000,565000
"NZ17",415000,575000
"NZ18",415000,585000
"NZ19",415000,595000
"NZ20",425000,505000
"NZ21",425000,515000
"NZ22",425000,525000
"NZ23",425000,535000
"NZ24",425000,545000
"NZ25",425000,555000
"NZ26",425000,565000
"NZ27",425000,575000
"NZ28",425000,585000
"NZ29",425000,595000
"NZ30",435000,505000
"NZ31",435000,515000
"NZ32",435000,525000
"NZ33",435000,535000
"NZ34",435000,545000
"NZ35",435000,555000
"NZ36",435000,565000
"NZ37",435000,575000
"NZ38",435000,585000
"NZ39",435000,595000
"NZ40",445000,505000
"NZ41",445000,515000
"NZ42",445000,525000
"NZ43",445000,535000
"NZ44",445000,545000
"NZ45",445000,555000
"NZ46",445000,565000
"NZ50",455000,505000
"NZ51",455000,515000
"NZ52",455000,525000
